plot,date,time,temp,rec_time
A,180516,0926,19.9,33960
A,180516,0941,20.0,34860
A,180516,0956,20.1,35760
A,180516,1011,20.3,36660
A,180516,1026,20.7,37560
A,180516,1041,21.0,38460
A,180516,1056,21.1,39360
A,180516,1111,21.6,40260
A,180516,1126,21.6,41160
A,180516,1141,22.0,42060
A,180516,1156,22.3,42960
A,180516,1211,22.5,43860
A,180516,1226,23.1,44760
A,180516,1241,23.1,45660
A,180516,1256,23.6,46560
A,180516,1311,24.2,47460
A,180516,1326,25.2,48360
A,180516,1341,25.2,49260
A,180516,1356,25.3,50160
A,180516,1411,25.7,51060
A,180516,1426,26.2,51960
A,180516,1441,26.6,52860
A,180516,1456,27.1,53760
A,180516,1511,28.0,54660
A,180516,1526,28.1,55560
A,180516,1541,28.3,56460
A,180516,1556,28.4,57360
A,180516,1611,28.6,58260
A,180516,1626,28.9,59160
A,180516,1641,28.7,60060
A,180516,1656,29.0,60960
A,180516,1711,29.0,61860
A,180516,1726,29.0,62760
A,180516,1741,28.7,63660
A,180516,1756,27.9,64560
A,180516,1811,28.0,65460
A,180516,1826,28.0,66360
A,180516,1841,28.0,67260
A,180516,1856,27.9,68160
A,180516,1911,27.2,69060
A,180516,1926,26.4,69960
A,180516,1941,25.7,70860
A,180516,1956,25.2,71760
A,180516,2011,24.7,72660
A,180516,2026,24.3,73560
A,180516,2041,24.0,74460
A,180516,2056,23.6,75360
A,180516,2111,23.2,76260
A,180516,2126,22.9,77160
A,180516,2141,22.6,78060
A,180516,2156,22.2,78960
A,180516,2211,21.6,79860
A,180516,2226,21.3,80760
A,180516,2241,21.1,81660
A,180516,2256,20.9,82560
A,180516,2311,20.7,83460
A,180516,2326,20.3,84360
A,180516,2341,20.3,85260
A,180516,2356,19.9,86160
A,180517,0011,19.8,660
A,180517,0026,19.7,1560
A,180517,0041,19.4,2460
A,180517,0056,19.4,3360
A,180517,0111,19.3,4260
A,180517,0126,19.2,5160
A,180517,0141,19.1,6060
A,180517,0156,18.9,6960
A,180517,0211,18.7,7860
A,180517,0226,18.6,8760
A,180517,0241,18.7,9660
A,180517,0256,18.6,10560
A,180517,0311,18.5,11460
A,180517,0326,18.4,12360
A,180517,0341,18.4,13260
A,180517,0356,18.2,14160
A,180517,0411,18.2,15060
A,180517,0426,17.9,15960
A,180517,0441,17.8,16860
A,180517,0456,17.8,17760
A,180517,0511,17.6,18660
A,180517,0526,17.5,19560
A,180517,0541,17.3,20460
A,180517,0556,17.4,21360
A,180517,0611,17.3,22260
A,180517,0626,17.3,23160
A,180517,0641,17.2,24060
A,180517,0656,17.0,24960
A,180517,0711,17.1,25860
A,180517,0726,17.1,26760
A,180517,0741,17.0,27660
A,180517,0756,17.0,28560
A,180517,0811,16.9,29460
A,180517,0826,17.1,30360
A,180517,0841,17.4,31260
A,180517,0856,18.0,32160
A,180517,0911,18.5,33060
A,180517,0926,18.9,33960
A,180517,0941,19.6,34860
A,180517,0956,20.1,35760
A,180517,1011,20.6,36660
A,180517,1026,21.3,37560
A,180517,1041,22.1,38460
A,180517,1056,22.7,39360
A,180517,1111,22.7,40260
A,180517,1126,22.6,41160
A,180517,1141,22.2,42060
A,180517,1156,21.6,42960
A,180517,1211,21.7,43860
A,180517,1226,21.6,44760
A,180517,1241,21.1,45660
A,180517,1256,20.7,46560
