cat_1,cat_2,plot_pi,date_pi,time_pi,freq_pi,all_pi,cat_1_type,cat_2_type
18,6,0.4789693,0.715868283,0.945629297,0.900223528,0.291885202,ac,ac
18,7,0.039393823,0.728220342,0.909397644,0.622548117,0.016241184,ac,ac
18,9,0.428530953,0.649943599,0.78988434,0.352885103,0.077634489,ac,vi
2,20,0.202436715,0.244739676,0.656718984,0.316642378,0.010302492,vi,ac
2,26,0.970004458,0.653512492,0.61215412,0.737645736,0.286243898,vi,ac
2,3,0.00985877,0.037900268,0.819383091,0.889673754,0.000272385,vi,vi
2,31,0.694983983,0.382083559,0.754433439,0.936150522,0.187542525,vi,ac
2,33,0.037486287,0.03546098,0.543020677,0.696253842,0.000502582,vi,ac
2,35,0.036758823,0.004544629,0.410368059,0.558913688,3.83E-05,vi,ac
2,39,0.005523923,0,0.397830209,0.472186722,0,vi,ac
2,4,0.819391097,0.160569627,0.707426368,0.886792004,0.082538705,vi,vi
2,45,0.131657066,0.578850631,0.535580884,0.795182357,0.03245656,vi,vi
2,5,0.006096577,0.008888307,0.562084322,0.851454795,2.59E-05,vi,vi
2,6,0.394834658,0.401250411,0.691942841,0.66903208,0.073341185,vi,ac
2,7,0.943735367,0.214936017,0.619210522,0.73684205,0.092549091,vi,ac
2,9,0.608424013,0.505569469,0.725940352,0.835729875,0.186618223,vi,vi
20,26,0.395264809,0.318260091,0.422872698,0.226490709,0.012048428,ac,ac
20,3,0.899585532,0.238200802,0.478122425,0.207885206,0.021298469,ac,vi
20,31,0.354693339,0.698131558,0.853687483,0.320807822,0.067816312,ac,ac
20,33,0.645216456,0.398927725,0.788895402,0.226460619,0.045984532,ac,ac
20,35,0.890071021,0.499104711,0.832498016,0.37686471,0.139375041,ac,ac
20,39,0.744241602,0.028098794,0.10125896,0.604432889,0.001279921,ac,ac
20,4,0.583336107,0.8707267,0.428356112,0.409352477,0.089064188,ac,vi
20,45,0.700984529,0.114206904,0.484063046,0.212116111,0.008220086,ac,vi
20,5,0.951850321,0.159226391,0.199170123,0.16244889,0.004903709,ac,vi
20,6,0.896920919,0.51114498,0.929204031,0.749738262,0.319388308,ac,ac
20,7,0.507997241,0.485428296,0.909086753,0.491655116,0.110217951,ac,ac
20,9,0.670964939,0.297486582,0.833574605,0.185435298,0.030853475,ac,vi
26,3,0.165669237,0.066315206,0.737292565,0.848351628,0.006871804,ac,vi
26,31,0.70349173,0.556621429,0.449548958,0.772836241,0.136045253,ac,ac
26,33,0.182302968,0.381006837,0.447625114,0.979014351,0.030438974,ac,ac
