glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_noise_30m,t_noise_30m,ent_noise_30m
4,180607,E,1,5,180607_E05_160_wavchunk31_f,180607_E05_160_wavchunk31_f,409.0043125,410.0270208,74929.00431,74930.02702,23.9,3462.776133,1171.875,6.844710628,0,10,4,1.193549604
4,180607,E,0,8,180607_E08_161_wavchunk27_f,180607_E08_161_wavchunk27_f,102.3515417,103.6835,101022.3515,101023.6835,20.1,3027.397774,796.875,15.76625895,0,5,1,0
4,180607,E,0,10,180607_E10_161_wavchunk37_f,180607_E10_161_wavchunk37_f,183.3656667,184.4528125,107343.3657,107344.4528,19.7,4524.606449,1007.8125,11.95791733,0,11,4,0.885574152
4,180607,E,1,10,180607_E10_161_wavchunk37_f,180607_E10_161_wavchunk37_f,367.3160833,368.4363958,107527.3161,107528.4364,19.7,6116.517555,984.375,18.74476987,0,11,4,0.885574152
4,180607,E,0,14,180607_E14_160_wavchunk34_f,180607_E14_160_wavchunk34_f,399.0659375,403.0346667,77259.06594,77263.03467,23.4,3758.432457,1101.5625,13.02133499,0,16,4,1.10343291
4,180607,E,1,14,180607_E14_160_wavchunk38_f,180607_E14_160_wavchunk38_f,4.4948125,15.79654167,79264.49481,79275.79654,22.8,4228.512508,585.9375,14.87616781,0,8,3,0.900256051
4,180607,E,2,14,180607_E14_161_wavchunk16_f,180607_E14_161_wavchunk16_f,470.0817292,471.78275,95330.08173,95331.78275,20.4,6356.215769,890.625,15.28493919,0,7,2,0.682908105
4,180607,E,3,14,180607_E14_161_wavchunk17_f,180607_E14_161_wavchunk17_f,56.75525,58.18710417,95516.75525,95518.1871,20.4,3717.468509,1359.375,6.285647771,0,7,2,0.682908105
4,180607,E,4,14,180607_E14_161_wavchunk17_f,180607_E14_161_wavchunk17_f,156.9329167,219.9737083,95616.93292,95679.97371,20.3,3129.017668,562.5,6.358849601,0,6,2,0.636514168
4,180607,E,5,14,180607_E14_161_wavchunk20_f,180607_E14_161_wavchunk20_f,45.67141667,46.68858333,97305.67142,97306.68858,20.3,3982.121427,1218.75,8.848107488,0,2,1,0
4,180607,E,6,14,180607_E14_161_wavchunk25_f,180607_E14_161_wavchunk25_f,329.4510833,330.6528333,100589.4511,100590.6528,20.1,5903.884041,1218.75,14.14603703,0,5,1,0
4,180607,E,7,14,180607_E14_161_wavchunk25_f,180607_E14_161_wavchunk25_f,399.7491875,403.8268125,100659.7492,100663.8268,20.1,6341.922276,1265.625,17.52825412,0,5,1,0
4,180607,E,8,14,180607_E14_161_wavchunk27_f,180607_E14_161_wavchunk27_f,349.3865,413.6343125,101809.3865,101873.6343,20.1,6228.023124,1136.71875,14.55357416,0,4,2,0.562335145
4,180607,E,9,14,180607_E14_161_wavchunk32_f,180607_E14_161_wavchunk32_f,260.3807917,261.530875,104720.3808,104721.5309,19.8,5459.266478,890.625,12.17325145,0,7,4,1.277034259
4,180607,E,10,14,180607_E14_161_wavchunk33_f,180607_E14_161_wavchunk33_f,592.213125,593.8664792,105652.2131,105653.8665,19.8,6016.643607,2390.625,18.74976374,0,10,5,1.470808476
4,180607,E,0,15,180607_E15_161_wavchunk17_f,180607_E15_161_wavchunk17_f,467.0815833,547.4473958,95927.08158,96007.4474,20.3,4899.513168,468.75,11.16936569,0,5,2,0.673011667
4,180607,E,1,15,180607_E15_161_wavchunk18_f,180607_E15_161_wavchunk18_f,10.64729167,34.72922917,96070.64729,96094.72923,20.3,4866.747758,585.9375,9.943310273,0,4,2,0.562335145
4,180607,E,2,15,180607_E15_161_wavchunk18_f,180607_E15_161_wavchunk18_f,247.6030417,254.3157917,96307.60304,96314.31579,20.3,5672.955547,656.25,10.47677407,0,4,2,0.562335145
4,180607,E,0,16,180607_E16_160_wavchunk5_f,180607_E16_160_wavchunk5_f,412.0743333,420.1128542,59872.07433,59880.11285,28.9,3415.372644,1382.8125,7.914599824,0,11,3,0.600166073
4,180607,E,1,16,180607_E16_160_wavchunk5_f,180607_E16_160_wavchunk5_f,536.9325625,540.8128958,59996.93256,60000.8129,28.9,2823.762955,1382.8125,10.90333429,0,10,2,0.325082973
4,180607,E,0,17,180607_E17_161_wavchunk20_f,180607_E17_161_wavchunk20_f,542.3777292,543.4002708,97802.37773,97803.40027,20.3,2630.269633,375,4.889776293,0,3,2,0.636514168
4,180607,E,1,17,180607_E17_161_wavchunk21_f,180607_E17_161_wavchunk21_f,211.5502292,213.0028542,98071.55023,98073.00285,20.3,1910.816087,468.75,11.01454264,0,2,2,0.693147181
4,180607,E,2,17,180607_E17_161_wavchunk38_f,180607_E17_161_wavchunk38_f,511.7760625,512.9494792,108571.7761,108572.9495,19.6,3068.465547,585.9375,8.522122008,0,14,3,0.655975732
4,180607,E,3,17,180607_E17_161_wavchunk41_f,180607_E17_161_wavchunk41_f,261.36275,262.5775625,110121.3628,110122.5776,19.7,2529.136526,703.125,12.3475845,0,12,4,1.075139324
4,180607,E,0,20,180607_E20_160_wavchunk39_f,180607_E20_160_wavchunk39_f,196.9091667,199.0768333,80056.90917,80059.07683,22.7,5422.573793,843.75,17.53020212,0,8,3,0.900256051
4,180607,E,0,22,180607_E22_160_wavchunk0_f,180607_E22_160_wavchunk0_f,450.9378125,451.9783333,57210.93781,57211.97833,29.4,2152.37205,796.875,10.57162879,0,15,5,1.080573848
4,180607,E,1,22,180607_E22_160_wavchunk1_f,180607_E22_160_wavchunk1_f,18.85625,20.1636875,57378.85625,57380.16369,29.4,3319.233473,1218.75,7.648549166,0,15,5,1.080573848
4,180607,E,2,22,180607_E22_160_wavchunk3_f,180607_E22_160_wavchunk3_f,447.8624167,449.6305417,59007.86242,59009.63054,29.3,2569.513951,750,10.18027572,0,15,3,0.627705257
4,180607,E,3,22,180607_E22_160_wavchunk3_f,180607_E22_160_wavchunk3_f,553.1714583,559.953375,59113.17146,59119.95338,29.3,2486.352089,750,8.770745743,0,15,3,0.627705257
4,180607,E,4,22,180607_E22_160_wavchunk4_f,180607_E22_160_wavchunk4_f,34.802625,64.05827083,59194.80263,59224.05827,29.3,3132.233433,750,6.496045232,0,14,3,0.655975732
4,180607,E,5,22,180607_E22_160_wavchunk4_f,180607_E22_160_wavchunk4_f,501.297625,525.1692292,59661.29763,59685.16923,28.9,4491.791992,539.0625,9.089807695,0,12,3,0.721463687
4,180607,E,6,22,180607_E22_160_wavchunk9_f,180607_E22_160_wavchunk9_f,110.5001875,111.6215,62270.50019,62271.6215,28.4,2153.3091,750,5.350872304,0,9,2,0.348832096
4,180607,E,7,22,180607_E22_160_wavchunk10_f,180607_E22_160_wavchunk10_f,301.9720833,303.087625,63061.97208,63063.08763,28,2355.841992,351.5625,9.860680536,0,12,1,0
4,180607,E,8,22,180607_E22_160_wavchunk14_f,180607_E22_160_wavchunk14_f,539.0080625,540.1091667,65699.00806,65700.10917,27.4,1728.637502,750,6.357375312,0,6,1,0
4,180607,E,9,22,180607_E22_160_wavchunk37_f,180607_E22_160_wavchunk37_f,593.5854167,598.1585625,79553.58542,79558.15856,22.7,1845.862329,890.625,4.592025001,0,8,3,0.900256051
4,180607,E,10,22,180607_E22_160_wavchunk38_f,180607_E22_160_wavchunk38_f,74.3095625,102.2310417,79634.30956,79662.23104,22.7,3802.563615,632.8125,9.030897552,0,8,3,0.900256051
4,180607,E,11,22,180607_E22_160_wavchunk45_f,180607_E22_160_wavchunk45_f,411.8408958,413.0241667,84171.8409,84173.02417,21.6,2719.528804,750,16.05690341,0,6,4,1.242453325
4,180607,E,12,22,180607_E22_161_wavchunk0_f,180607_E22_161_wavchunk0_f,145.9593333,147.0400625,85705.95933,85707.04006,21.5,2714.005691,609.375,9.25283368,0,8,4,1.255482325
4,180607,E,13,22,180607_E22_161_wavchunk0_f,180607_E22_161_wavchunk0_f,521.410125,522.6103958,86081.41013,86082.6104,21.5,4606.020181,609.375,5.832017079,0,9,4,1.214889654
4,180607,E,14,22,180607_E22_161_wavchunk1_f,180607_E22_161_wavchunk1_f,570.3468958,571.37425,86730.3469,86731.37425,21.4,4678.789758,843.75,8.760367449,0,7,2,0.598269589
