glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180604,E,3.0,21,180604_E21_160_wavchunk10_f,180604_E21_160_wavchunk10_f,306.1867083,308.374375,63246.18671,63248.37438,25.2,3786.695636857473,1265.625,6.856620447965868,0,0,,0,
3,180604,E,4.0,21,180604_E21_160_wavchunk15_f,180604_E21_160_wavchunk15_f,413.5735833,414.6545625,66353.57358,66354.65456,24.5,2000.7325759583523,1218.75,7.400555041628122,0,0,,0,
3,180604,E,5.0,21,180604_E21_160_wavchunk23_f,180604_E21_160_wavchunk23_f,387.9372917,389.0746667,71127.93729,71129.07467,23.2,4311.652271724711,1125.0,11.429827453566324,0,0,,0,
3,180604,E,6.0,21,180604_E21_160_wavchunk29_f,180604_E21_160_wavchunk29_f,520.9557708,526.5076042,74860.95577,74866.5076,22.1,3821.715410900026,609.375,18.012135676411983,0,0,,0,
3,180604,E,7.0,21,180604_E21_160_wavchunk35_f,180604_E21_160_wavchunk35_f,346.3769583,354.532,78286.37696,78294.532,21.1,2630.944615724303,1265.625,7.234769813229513,0,0,,0,
3,180604,E,8.0,21,180604_E21_161_wavchunk26_f,180604_E21_161_wavchunk26_f,96.1226875,97.353,101436.1227,101437.353,18.5,3158.8240555256634,1148.4375,5.689611379222759,0,0,,0,
3,180607,D,0.0,6,180607_D06_16_2_wavchunk16_f,180607_D06_16_2_wavchunk16_f,69.16525,87.20239583,95649.16525,95667.2024,19.9,4169.254511410188,703.125,15.695678238596107,0,0,,0,
3,180607,D,1.0,6,180607_D06_16_2_wavchunk23_f,180607_D06_16_2_wavchunk23_f,390.8510208,392.8357292,100170.851,100172.8357,19.7,3802.9859785558247,1242.1875,9.57309456579928,0,0,,0,
3,180607,D,2.0,6,180607_D06_16_2_wavchunk27_f,180607_D06_16_2_wavchunk27_f,486.6474792,543.2606875,102666.6475,102723.2607,19.6,3721.229500726068,1265.625,10.903544733739333,0,0,,0,
3,180607,E,0.0,1,180607_E01_160_wavchunk25_f,180607_E01_160_wavchunk25_f,279.8178333,284.8246667,71199.81783,71204.82467,26.0,3388.822379170858,1195.3125,6.542870815659375,0,0,7269.136710000006,5,456.18442000000505
3,180607,E,1.0,1,180607_E01_160_wavchunk25_f,180607_E01_160_wavchunk25_f,564.1881875,567.0883125,71484.18819,71487.08831,25.5,1998.3753469281423,515.625,2.0688763415370026,0,0,6984.766350000005,5,171.81406000000425
3,180607,E,2.0,1,180607_E01_160_wavchunk26_f,180607_E01_160_wavchunk26_f,40.90091667,83.26441667,71560.90092,71603.26442,25.5,2230.3241054088226,1289.0625,3.345166642030625,0,0,6908.053620000006,5,95.10133000000496
3,180607,E,3.0,1,180607_E01_160_wavchunk33_f,180607_E01_160_wavchunk33_f,74.42375,77.25533333,75794.42375,75797.25533,23.9,5204.003417145486,1312.5,6.710026781247241,0,0,2674.5307900000043,3,4.527900000000955
3,180607,E,0.0,3,180607_E03_160_wavchunk23_f,180607_E03_160_wavchunk23_f,513.1438125,514.7537708,70233.14381,70234.75377,26.3,1425.0881768371214,1171.875,3.105670436605502,0,0,8235.810730000012,6,966.6740200000058
3,180607,E,1.0,3,180607_E03_160_wavchunk26_f,180607_E03_160_wavchunk27_f,21.45725,596.7275417,72020.15806,72157.66885,25.5,1562.106587319473,1125.0,6.054638223569086,0,0,6448.7964800000045,6,30.171060000007856
3,180607,E,0.0,5,180607_E05_160_wavchunk33_f,180607_E05_160_wavchunk33_f,78.95164583,84.8995625,75798.95165,75804.89956,23.9,2627.961480204405,1359.375,3.026269702276708,0,0,2670.0028900000034,3,4.527900000000955
